entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
CoQuan_quoc_hoi,CoQuan,Quốc hội,Quốc hội,166170,raw,1.0,Raw metadata value: Quốc hội
NguoiKy_vuong_inh_hue,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166170,raw,1.0,Raw metadata value: Vương Đình Huệ
LinhVuc_tin_dung,LinhVuc,Tín dụng,Tín dụng,166170,raw,1.0,Raw metadata value: Tín dụng
NguoiKy_nguyen_xuan_phuc,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,112025,raw,1.0,Raw metadata value: Nguyễn Xuân Phúc
CoQuan_chinh_phu,CoQuan,Chính phủ,Chính phủ,112025,raw,1.0,Raw metadata value: Chính phủ
LinhVuc_phat_hanh_va_kho_quy,LinhVuc,Phát hành và kho quỹ,Phát hành và kho quỹ,38128,raw,1.0,Raw metadata value: Phát hành và kho quỹ
CoQuan_quoc_hoi,CoQuan,Quốc hội,Quốc hội,26750,raw,1.0,Raw metadata value: Quốc hội
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,38128,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
NguoiKy_ao_minh_tu,NguoiKy,Đào Minh Tú,Đào Minh Tú,38128,raw,1.0,Raw metadata value: Đào Minh Tú
NguoiKy_le_minh_khai,NguoiKy,Lê Minh Khái,Lê Minh Khái,163441,raw,1.0,Raw metadata value: Lê Minh Khái
CoQuan_chinh_phu,CoQuan,Chính phủ,Chính phủ,146468,raw,1.0,Raw metadata value: Chính phủ
LinhVuc_chung_khoan,LinhVuc,Chứng khoán,Chứng khoán,146468,raw,1.0,Raw metadata value: Chứng khoán
NguoiKy_nguyen_xuan_phuc,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,146468,raw,1.0,Raw metadata value: Nguyễn Xuân Phúc
CoQuan_chinh_phu,CoQuan,Chính phủ,Chính phủ,163441,raw,1.0,Raw metadata value: Chính phủ
LinhVuc_bao_hiem,LinhVuc,Bảo hiểm,Bảo hiểm,163441,raw,1.0,Raw metadata value: Bảo hiểm
NguoiKy_nguyen_phu_trong,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,26750,raw,1.0,Raw metadata value: Nguyễn Phú Trọng
NguoiKy_tran_xuan_ha,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,30402,raw,1.0,Raw metadata value: Trần Xuân Hà
NguoiKy_nguyen_uc_chi,NguoiKy,Nguyễn Đức Chi,Nguyễn Đức Chi,f69936f0-6937-11f1-a48d-29bc6b0fd706,raw,1.0,Raw metadata value: Nguyễn Đức Chi
CoQuan_bo_tai_chinh,CoQuan,Bộ Tài chính,Bộ Tài chính,f69936f0-6937-11f1-a48d-29bc6b0fd706,raw,1.0,Raw metadata value: Bộ Tài chính
CoQuan_bo_tai_chinh,CoQuan,Bộ Tài chính,Bộ Tài chính,30402,raw,1.0,Raw metadata value: Bộ Tài chính
NguoiKy_oan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,173460,raw,1.0,Raw metadata value: Đoàn Thái Sơn
LinhVuc_quan_ly_dich_vu_tai_chinh_va_cac_qu,LinhVuc,Quản lý dịch vụ tài chính và các quỹ tài chính,Quản lý dịch vụ tài chính và các quỹ tài chính,30402,raw,1.0,Raw metadata value: Quản lý dịch vụ tài chính và các quỹ tài chính
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173460,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
LinhVuc_quan_ly_ngoai_hoi,LinhVuc,Quản lý ngoại hối,Quản lý ngoại hối,169221,raw,1.0,Raw metadata value: Quản lý ngoại hối
NguoiKy_nguyen_tan_dung,NguoiKy,Nguyễn Tấn Dũng,Nguyễn Tấn Dũng,95652,raw,1.0,Raw metadata value: Nguyễn Tấn Dũng
NguoiKy_pham_thanh_ha,NguoiKy,Phạm Thanh Hà,Phạm Thanh Hà,169221,raw,1.0,Raw metadata value: Phạm Thanh Hà
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,169221,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
CoQuan_chinh_phu,CoQuan,Chính phủ,Chính phủ,95652,raw,1.0,Raw metadata value: Chính phủ
CoQuan_chinh_phu,CoQuan,Chính phủ,Chính phủ,133858,raw,1.0,Raw metadata value: Chính phủ
NguoiKy_nguyen_xuan_phuc,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,133858,raw,1.0,Raw metadata value: Nguyễn Xuân Phúc
LinhVuc_thanh_tra_giam_sat_ngan_hang,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",168220,raw,1.0,"Raw metadata value: Thanh tra, giám sát ngân hàng"
NguoiKy_ao_minh_tu,NguoiKy,Đào Minh Tú,Đào Minh Tú,168220,raw,1.0,Raw metadata value: Đào Minh Tú
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168220,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
CoQuan_bo_tai_chinh,CoQuan,Bộ Tài chính,Bộ Tài chính,150974,raw,1.0,Raw metadata value: Bộ Tài chính
CoQuan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,185630,raw,1.0,Raw metadata value: Ngân hàng Nhà nước Việt Nam
LinhVuc_lao_ong_tien_luong_tien_cong,LinhVuc,"Lao động, tiền lương, tiền công","Lao động, tiền lương, tiền công",185630,raw,1.0,"Raw metadata value: Lao động, tiền lương, tiền công"
CoQuan_quoc_hoi,CoQuan,Quốc hội,Quốc hội,166269,raw,1.0,Raw metadata value: Quốc hội
NguoiKy_vuong_inh_hue,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166269,raw,1.0,Raw metadata value: Vương Đình Huệ
LinhVuc_thanh_tra_giam_sat_ngan_hang,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",117310,raw,1.0,"Raw metadata value: Thanh tra, giám sát ngân hàng"
